ANO,MES,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO_TRATOR,CAMINHONETE,CAMIONETA,CHASSI_PLATAF,CICLOMOTOR,MICRO_ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,OUTROS,QUADRICICLO,REBOQUE,SEMI_REBOQUE,SIDE_CAR,TRATOR_ESTEI,TRATOR_RODAS,TRICICLO,UTILITARIO
2018,6,ABAIARA,2468,526,0,44,1,179,14,0,1,29,1579,56,8,0,0,30,1,0,0,0,0,0
2018,6,ACARAPE,2692,1052,0,100,2,120,32,0,1,14,1165,58,115,0,0,16,6,0,0,0,1,10
2018,6,ACARAU,15416,3201,0,258,2,1424,136,0,1,46,8396,1716,74,1,0,82,6,0,0,0,5,68
2018,6,ACOPIARA,15708,3053,0,419,24,955,114,0,9,86,9899,961,61,1,0,50,38,0,0,0,4,34
2018,6,AIUABA,2859,406,0,39,2,149,17,0,1,7,2098,118,7,0,0,11,4,0,0,0,0,0
2018,6,ALCANTARAS,3851,636,0,60,2,174,27,0,1,19,2353,545,24,0,0,1,1,0,0,0,0,8
2018,6,ALTANEIRA,1680,354,0,48,0,104,17,0,1,20,1026,98,6,0,0,5,0,0,0,0,0,1
2018,6,ALTO SANTO,4295,748,0,162,14,244,21,0,4,12,2610,419,24,0,0,21,8,0,0,0,1,7
2018,6,AMONTADA,8407,1612,0,217,13,640,50,0,6,41,5223,468,49,0,0,48,17,0,0,0,1,22
2018,6,ANTONINA DO NORTE,2283,461,0,69,1,143,12,0,0,1,1455,107,8,1,0,19,3,0,0,0,1,2
2018,6,APUIARES,3953,775,0,106,2,198,24,0,1,12,2588,195,17,0,0,26,2,0,0,0,0,7
2018,6,AQUIRAZ,21537,9075,0,860,55,1267,445,0,89,138,8580,186,140,4,0,361,79,2,0,5,14,237
2018,6,ARACATI,22669,7449,0,605,49,1367,456,0,698,142,8949,2252,165,0,0,276,84,2,0,0,12,163
2018,6,ARACOIABA,6013,1617,0,142,5,287,46,0,4,23,3664,113,39,0,0,63,8,0,0,0,0,2
2018,6,ARARENDA,3208,493,0,39,0,208,13,0,1,23,2208,191,18,0,0,10,0,0,0,0,1,3
2018,6,ARARIPE,5962,1236,0,131,2,437,46,0,0,98,3820,76,65,1,0,44,1,0,0,0,1,4
2018,6,ARATUBA,2956,485,0,92,0,179,10,0,1,2,2123,31,20,0,0,5,0,0,0,0,3,5
2018,6,ARNEIROZ,1813,261,0,44,0,108,8,0,1,15,1276,85,5,1,0,7,1,0,0,0,0,1
